,country,year,population,co2,co2_per_capita
108,Kosovo,2021,1662022.0,5644000.0,3.396
109,Kuwait,2021,4250111.0,106134000.0,24.972
110,Kyrgyzstan,2021,6527742.0,9308000.0,1.426
111,Laos,2021,7425055.0,20778000.0,2.798
112,Latvia,2021,1873926.0,7266000.0,3.878
113,Lebanon,2021,5592626.0,24959000.0,4.463
114,Lesotho,2021,2281464.0,2282000.0,1.0
115,Liberia,2021,5193422.0,1195000.0,0.23
116,Libya,2021,6735280.0,74525000.0,11.065
117,Liechtenstein,2021,39058.0,151000.0,3.865
118,Lithuania,2021,2786652.0,13881000.0,4.981
121,Luxembourg,2021,639330.0,8355000.0,13.068
122,Macao,2021,686616.0,1287000.0,1.874
123,Madagascar,2021,28915652.0,4244000.0,0.147
124,Malawi,2021,19889742.0,1552000.0,0.078
125,Malaysia,2021,33573872.0,256048999.99999997,7.626
126,Maldives,2021,521469.0,2118000.0,4.062
127,Mali,2021,21904990.0,4170000.0,0.19
128,Malta,2021,526751.0,1724000.0,3.273
129,Marshall Islands,2021,42074.0,159000.0,3.778
130,Martinique,2021,368799.0,2100000.0,5.695
131,Mauritania,2021,4614981.0,4118000.0000000005,0.892
132,Mauritius,2021,1298922.0,4472000.0,3.443
133,Mayotte,2021,316022.0,273000.0,0.865
134,Mexico,2021,126705136.0,407205000.0,3.214
135,Micronesia (country),2021,113143.0,159000.0,1.405
136,Moldova,2021,3061509.0,5602000.0,1.83
137,Mongolia,2021,3347782.0,50316000.0,15.03
138,Montenegro,2021,627856.0,1751000.0,2.789
139,Montserrat,2021,4438.0,21000.0,4.659
140,Morocco,2021,37076588.0,70578000.0,1.904
141,Mozambique,2021,32077074.0,7156000.0,0.223
142,Myanmar,2021,53798088.0,36307000.0,0.675
143,Namibia,2021,2530150.0,4014999.9999999995,1.587
144,Nauru,2021,12533.0,60000.0,4.756
145,Nepal,2021,30034988.0,14173000.0,0.472
146,Netherlands,2021,17501696.0,141045000.0,8.059
147,New Caledonia,2021,287809.0,5496000.0,19.097
148,New Zealand,2021,5129730.0,33790000.0,6.587
149,Nicaragua,2021,6850546.0,5060000.0,0.739
150,Niger,2021,25252722.0,2699000.0,0.107
151,Nigeria,2021,213401328.0,136987000.0,0.642
152,Niue,2021,1957.0,12000.0,6.092
154,North Korea,2021,25971910.0,56380000.0,2.171
155,North Macedonia,2021,2103329.0,6852000.0,3.257
156,Norway,2021,5403021.0,40919000.0,7.573
158,Oman,2021,4520474.0,80991000.0,17.917
159,Pakistan,2021,231402112.0,229512000.0,0.992
160,Palau,2021,18050.0,238000.0,13.21
161,Palestine,2021,5133393.0,3092000.0,0.602
162,Panama,2021,4351264.0,13032000.0,2.995
163,Papua New Guinea,2021,9949438.0,8510000.0,0.855
164,Paraguay,2021,6703802.0,8577000.0,1.279
165,Peru,2021,33715464.0,56282000.0,1.669
166,Philippines,2021,113880336.0,144264000.0,1.267
167,Poland,2021,38307724.0,328580000.0,8.577
168,Portugal,2021,10290109.0,40797000.0,3.965
170,Qatar,2021,2688239.0,95667000.0,35.587
171,Reunion,2021,966132.0,4102999.9999999995,4.247
172,Romania,2021,19328558.0,79327000.0,4.104
173,Russia,2021,145102752.0,1755547000.0,12.099
174,Rwanda,2021,13461891.0,1755000.0,0.13
175,Saint Helena,2021,5428.0,14000.0,2.54
176,Saint Kitts and Nevis,2021,47631.0,238000.0,4.992
177,Saint Lucia,2021,179663.0,486000.0,2.705
178,Saint Pierre and Miquelon,2021,5905.0,62000.0,10.505
179,Saint Vincent and the Grenadines,2021,104340.0,214000.0,2.048
180,Samoa,2021,218781.0,294000.0,1.344
181,Sao Tome and Principe,2021,223118.0,132000.0,0.592
182,Saudi Arabia,2021,35950396.0,672380000.0,18.703
183,Senegal,2021,16876726.0,13598000.0,0.806
184,Serbia,2021,7296771.0,30869000.0,4.23
185,Seychelles,2021,106486.0,568000.0,5.337
186,Sierra Leone,2021,8420642.0,1299000.0,0.154
187,Singapore,2021,5941063.0,32506999.999999996,5.472
188,Sint Maarten (Dutch part),2021,44061.0,648000.0,14.705
189,Slovakia,2021,5447621.0,35308000.0,6.481
190,Slovenia,2021,2119408.0,12549000.0,5.921
191,Solomon Islands,2021,707855.0,318000.0,0.449
192,Somalia,2021,17065588.0,610000.0,0.036
193,South Africa,2021,59392256.0,435929000.0,7.34
195,South Korea,2021,51830136.0,616075000.0,11.886
196,South Sudan,2021,10748278.0,1582000.0,0.147
197,Spain,2021,47486932.0,233650000.0,4.92
198,Sri Lanka,2021,21773438.0,20781000.0,0.954
199,Sudan,2021,45657204.0,21038000.0,0.461
200,Suriname,2021,612989.0,2793000.0,4.557
201,Sweden,2021,10467095.0,35849000.0,3.425
202,Switzerland,2021,8691409.0,34932000.0,4.019
203,Syria,2021,21324366.0,27001000.0,1.266
204,Taiwan,2021,23859904.0,282856000.0,11.855
205,Tajikistan,2021,9750078.0,10336000.0,1.06
206,Tanzania,2021,63588332.0,13059000.0,0.205
207,Thailand,2021,71601104.0,278496000.0,3.89
208,Togo,2021,8644829.0,2342000.0,0.271
209,Tonga,2021,106034.0,175000.0,1.649
210,Trinidad and Tobago,2021,1525671.0,36124000.0,23.677
211,Tunisia,2021,12262949.0,31583000.0,2.575
212,Turkey,2021,84775408.0,446204000.0,5.263
213,Turkmenistan,2021,6341850.0,83007000.0,13.089
214,Turks and Caicos Islands,2021,45141.0,341000.0,7.558
215,Tuvalu,2021,11229.0,8000.0,0.708
216,Uganda,2021,45853780.0,5780000.0,0.126
217,Ukraine,2021,43531424.0,201858000.0,4.637
218,United Arab Emirates,2021,9365149.0,204087000.0,21.792
219,United Kingdom,2021,67281040.0,346773000.0,5.154
220,United States,2021,336997632.0,5007336000.0,14.859
222,Uruguay,2021,3426265.0,6738000.0,1.967
223,Uzbekistan,2021,34081452.0,121631000.0,3.569
224,Vanuatu,2021,319146.0,175000.0,0.548
225,Venezuela,2021,28199862.0,79747000.0,2.828
226,Vietnam,2021,97468024.0,326014000.0,3.345
227,Wallis and Futuna,2021,11654.0,28000.0,2.387
229,Yemen,2021,32981644.0,12477000.0,0.378
230,Zambia,2021,19473132.0,7676000.0,0.394
231,Zimbabwe,2021,15993525.0,11296000.0,0.706
