,country,population,year,co2_per_capita,co2,coal_co2,energy_per_capita,temperature_change_from_co2
229,slovakia,5447621.0,2021,6.481,35.308,12.579,35836.406,0.002
230,slovenia,2119408.0,2021,5.921,12.549,3.614,36175.777,0.0
231,solomon islands,707855.0,2021,0.449,0.318,0.0,1892.131,0.0
232,somalia,17065588.0,2021,0.036,0.61,0.0,217.41,0.0
233,south africa,59392256.0,2021,7.34,435.929,370.267,23392.424,0.012
234,south america,434254167.0,2021,2.476,1074.999,113.779,16192.434,0.092
235,south america (gcp),945.8012862745098,2021,945.8012862745098,1074.998,945.8012862745098,945.8012862745098,945.8012862745098
236,south korea,51830136.0,2021,11.886,616.075,283.908,67330.305,0.009
237,south sudan,10748278.0,2021,0.147,1.582,0.0,731.989,0.001
238,spain,47486932.0,2021,4.92,233.65,18.575,32491.648,0.007
239,sri lanka,21773438.0,2021,0.954,20.781,6.077,4884.529,0.001
240,st. kitts-nevis-anguilla (gcp),945.8012862745098,1980,945.8012862745098,0.051,0.0,945.8012862745098,945.8012862745098
241,st. kitts-nevis-anguilla (jones et al. 2023),945.8012862745098,2021,945.8012862745098,945.80128627451,945.8012862745098,945.8012862745098,0.0
242,sudan,45657204.0,2021,0.461,21.038,0.0,2317.393,0.001
243,suriname,612989.0,2021,4.557,2.793,0.0,20284.996,0.0
244,svalbard and jan mayen,945.8012862745098,2021,945.8012862745098,945.80128627451,945.8012862745098,945.8012862745098,945.8012862745098
245,sweden,10467095.0,2021,3.425,35.849,5.553,60186.461,0.003
246,switzerland,8691409.0,2021,4.019,34.932,0.413,34368.309,0.001
247,syria,21324366.0,2021,1.266,27.001,0.003,5507.217,0.001
248,taiwan,23859904.0,2021,11.855,282.856,154.887,57989.336,0.004
249,tajikistan,9750078.0,2021,1.06,10.336,5.185,7674.914,0.0
250,tanzania,63588332.0,2021,0.205,13.059,1.983,907.404,0.004
251,thailand,71601104.0,2021,3.89,278.496,70.647,19425.641,0.009
252,togo,8644829.0,2021,0.271,2.342,0.0,1115.704,0.0
253,tonga,106034.0,2021,1.649,0.175,0.0,6698.594,0.0
254,trinidad and tobago,1525671.0,2021,23.677,36.124,0.0,111051.422,0.001
255,tunisia,12262949.0,2021,2.575,31.583,0.0,9524.104,0.001
256,turkey,84775408.0,2021,5.263,446.204,162.562,22817.182,0.006
257,turkmenistan,6341850.0,2021,13.089,83.007,0.0,70866.023,0.002
258,turks and caicos islands,45141.0,2021,7.558,0.341,0.0,19615.283,0.0
259,tuvalu,11229.0,2021,0.708,0.008,0.0,0.0,0.0
260,uganda,45853780.0,2021,0.126,5.78,0.0,766.846,0.001
261,ukraine,43531424.0,2021,4.637,201.858,101.83,21459.945,0.017
262,united arab emirates,9365149.0,2021,21.792,204.087,6.695,139828.766,0.002
263,united kingdom,67281040.0,2021,5.154,346.773,23.69,29716.807,0.034
264,united states,336997632.0,2021,14.859,5007.336,1002.3,76988.75,0.233
265,united states virgin islands,100100.0,2021,945.8012862745098,945.80128627451,945.8012862745098,97972.117,945.8012862745098
266,upper-middle-income countries,2548718303.0,2021,6.672,17002.451,9385.535,27324.119,0.369
267,uruguay,3426265.0,2021,1.967,6.738,0.002,18316.926,0.001
268,uzbekistan,34081452.0,2021,3.569,121.631,8.084,16552.881,0.003
269,vanuatu,319146.0,2021,0.548,0.175,0.0,2957.444,0.0
270,venezuela,28199862.0,2021,2.828,79.747,0.036,20686.414,0.006
271,vietnam,97468024.0,2021,3.345,326.014,196.518,12375.912,0.006
272,wallis and futuna,11654.0,2021,2.387,0.028,0.0,945.8012862745098,0.0
273,western sahara,565590.0,2021,945.8012862745098,945.80128627451,945.8012862745098,1937.933,945.8012862745098
274,world,7909295104.0,2021,4.694,37123.852,14979.598,20981.156,1.113
275,yemen,32981644.0,2021,0.378,12.477,0.246,1080.039,0.0
276,zambia,19473132.0,2021,0.394,7.676,2.464,3418.863,0.002
277,zimbabwe,15993525.0,2021,0.706,11.296,7.226,2635.154,0.001
